"Δ, кг/м³",B_a,"p_max, МПа","p_m_e, МПа",η_r_e,Λ_e,ζ
500,"0,798724","290,000000","162,523934","0,202805","1,974869","0,006841"
525,"0,851007","290,000000","152,767442","0,216955","2,238830","0,006367"
550,"0,901333","290,000000","143,560371","0,230714","2,520590","0,005936"
575,"0,950507","290,000000","134,659223","0,244282","2,825879","0,005543"
600,"1,001701","290,000000","125,272936","0,258180","3,177595","0,005182"
625,"1,055684","290,000000","115,183920","0,272819","3,596335","0,004851"
650,"1,112445","290,000000","104,573742","0,288254","4,100885","0,004545"
675,"1,172357","290,000000","93,646028","0,304537","4,716509","0,004261"
700,"1,235542","290,000000","82,483740","0,321857","5,486008","0,003998"
725,"1,302348","290,000000","71,444805","0,340161","6,454827","0,003753"
750,"1,373060","290,000000","60,976063","0,359053","7,671175","0,003524"
775,"1,448086","290,000000","50,696322","0,379679","9,300867","0,003310"
800,"1,527831","290,000000","41,272678","0,401171","11,456967","0,003109"
825,"1,612831","290,000000","32,543059","0,424559","14,472860","0,002921"
850,"1,703277","290,000000","24,945501","0,449014","18,697843","0,002744"
875,"1,800011","290,000000","18,435349","0,475089","24,882171","0,002576"
